1,keyboard,4--12,The keyboard is slick and quiet and not bulky like some other laptops I have had in the past.
0,webpages,52--60,The processor is very quick and effective as I load webpages and applications.
1,power,51--56,Now I have the best of both worlds with all of the power and ease of the Mac!
-1,display,4--11,The display is beyond horrible.
1,navigate,23--31,It's so much easier to navigate through the operating system[comma] to find files[comma] and it runs a lot faster!
-1,delete  key,80--91,And if you do a lot of writing[comma] editing is a problem since there is no  forward delete  key.
-1,mouse pad,16--25,_ This time the mouse pad and right click key wouldn't work!
0,performance,129--140,So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all[comma] I just chose to hide the message.
1,applications,50--62,Seems to slow down occassionally but can run many applications (ie Internet tabs[comma] programs[comma] etc) simultaneously.
-1,costing,57--64,We figure that after everything HIS pc actually ended up costing $350 more than my original Mac.
1,sound,33--38,I am using the external speaker- sound is good.
1,display,4--11,The display on this computer is the best I've seen in a very long time[comma] the battery life is very long and very convienent.
-1,keyboard,44--52,I was disappointed when I realized that the keyboard doesn't light up on this model.
-1,graphics,4--12,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.
1,battery life,4--16,The battery life is also relatively good.
1,price,4--9,The price and features more than met my needs.
1,use,36--39,It made the computer much easier to use and navigate.
1,cordless mouse,11--25,I bought a cordless mouse for it[comma] but don't always take it out;
1,shipping,21--29,company provides UPS shipping[comma] fast[comma] great!
-1,SERVICE,140--147,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.
0,stand,96--101,I do not experience a lot of heat coming out of it[comma] however I would highly suggest purchasing a stand however[comma] due to the nature of the design of the macbook as it is one very large heat sink.
1,acer arcade,16--27,I also like the acer arcade but these were reallythe only two things I liked about this laptop.
1,price,117--122,Reason why? It's because when you buy it[comma] you know first thing that you will not lose any value for that laptop[comma] the price will stay the same for the next year[comma] and even if Apple does decides to change mode[comma] your laptop value will only drop 10-20%[comma] unlike PC laptops which drop more than 80%.
-1,external dvd drive,37--55,But guess what?  (you have to buy an external dvd drive it doesn't have a built in type) The notebook can't be used because it doesn't read anything for an external drive.
-1,Windows,20--27,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.
-1,mouse,4--9,the mouse is way way way to sensitve.
-1,keyboard,38--46,The paint wears off easily due to the keyboard being farther back than usual.
-1,tech store,4--14,The tech store I purchased this from sent it back[comma][comma][comma][comma][comma]eventually I got a new or repaired machine approximately 3 weeks later.
-1,battery,46--53,_ I sent it back and found this time that the battery was faulty[comma] so I got a new one and some other fixes they found.
-1,carry,36--41,This computer was so challenging to carry and handle.
1,photo booth,17--28,I am ADDICTED to photo booth!
0,iBook,102--107,There was a little difficulty doing the migration as the firewire cable system can't be used with the iBook.
1,features,36--44,Great laptop that offers many great features!
1,use,41--44,I love my Apple[comma] it is quick and easy to use.
-1,browser,133--140,The other lock-up problems are from a myriad of causes[comma] the most common being a corrupted version of Appleworks which can render the browser useless.
1,touchpad,45--53,I play a lot of casual games online[comma] and the touchpad is very responsive.
1,price,81--86,It didn't come with any software installed outside of windows media[comma] but for the price[comma] I was very pleased with the condition and the overall product.
-1,wireless switch,31--46,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.
0,playing games,85--98,You know[comma] using the computer should be fun[comma] not aggrevation[comma] especially when you are playing games or working with photos.
1,screen,6--12,Crisp screen[comma] great battery life[comma] and plenty of storage.
1,iChat,77--82,I even got my teenage son one[comma] because of the features that it offers[comma] like[comma] iChat[comma] Photobooth[comma] garage band and more!
-1,internet,4--12,The internet was locekd and froze every time it was trying to be used[comma] and the command prompt would not work at all.
0,shortcuts,93--102,Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines.
1,program,4--11,The program came with the computer and works beautifully.
-1,battery life,4--16,The battery life[comma] before the battery completely died of course[comma] left much to be desired.
-1,memory,96--102,Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed[comma] etc.
-1,mic,80--83,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
1,OSX 16,64--70,The processor screams[comma] and because of the unique way that Apple OSX 16 functions[comma] most of the graphics are routed through the hardware rather than the software.
-1,hard drive,87--97,I respond that I do not have the old computer and this way I would lose the data on my hard drive.
1,software,200--208,Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me)[comma] so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.
0,ports,68--73,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.
-1,customer service,36--52,This is my first Dell I heard their customer service was lacking and that they were working on improving it!
-1,built-in webcam,21--36,I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid[comma] (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.
-1,Windows,0--7,Windows also shuts the computer down for no reason without warning.
-1,MS Office,49--58,I wish iWork or MS Office came with the Mac[comma] but MS Office doesn't even come with most pc laptops.
0,Windows 7 Starter,44--61,I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home[comma] and it runs just fine.
1,High definition quality,14--37,Its fast[comma] has High definition quality in the videos.
1,ran,30--33,The computer itself was fast[comma] ran smoothly[comma] and had no problems.
-1,screen,93--99,Also[comma] my sister got the exact same laptop (since they were so cheap) and after 8 months[comma] the screen split in half just from everyday use.
0,Apple navigation,83--99,The difference is it's a whole lot of fun using the laptop now[comma] still learning the Apple navigation[comma] but is fun and comes with a lot of cool apps.
-1,boot up,10--17,Unable to boot up this brand new laptop.
0,ram,69--72,and plenty of storage with 250 gb(though I will upgrade this and the ram..)
1,price,58--63,Waiting for the i7 was well worth it[comma] great value for the price.
-1,DVD drive,4--13,The DVD drive randomly pops open when it is in my backpack as well[comma] which is annoying.
-1,handle,46--52,This computer was so challenging to carry and handle.
-1,space,107--112,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.
0,battery,121--128,"There is a small red circle next to it with a x in the middle[comma] and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge."
1,fit,73--76,The screen is nice and the images comes very clear[comma] the keyboard and the fit just feels right.
-1,edge,108--112,In the shop[comma] these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it[comma] get it home[comma] break the seal and use it (very clever con).
0,service,21--28,Going to bring it to service today.
1,performance,83--94,The macbooks are small enough to be very portable yet hold tons of information and performance.
1,graphics,4--12,The graphics are great.
-1,staff,15--20,(Beware[comma] their staff could send you back making you feel that only they know what a computer is.
1,use,25--28,the programs are esay to use and are quick to process this computer works like a charm.
1,price,27--32,Again[comma] decent comp for the price[comma] and I was in need of one quickly as my other laptop died on me.
1,battery,88--95,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.
1,load,47--51,The processor is very quick and effective as I load webpages and applications.
0,repair depot,34--46,The computer was shipped to their repair depot_ on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.
1,programming,29--40,I am most impressed with the programming[comma] including the iPhoto.
-1,hard drive,9--19,Then the hard drive failed;
1,graphics,4--12,The graphics are stunning.
0,extended warranty,63--80,) I also purchased  Applecare  for $300[comma] which is a three year extended warranty[comma] since I ve never seen any laptop that lasted more than two.
1,operating system,83--99,previous laptops were pc's[comma] still have them[comma] but the mac osx is a clean and smooth operating system.
1,Mozzilla firfox,110--125,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.
1,battery life,180--192,It has a 10 hour battery life when you're doing web browsing and word editing[comma] making it perfect for the classroom or office[comma] and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
0,Processor,0--9,Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).
1,twin packing,30--42,The Macbook arrived in a nice twin packing and sealed in the box[comma] all the functions works great.
-1,paint,73--78,Externally the keys on my keyboard are falling off[comma] after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit[comma] and the screen has a terrible glare.
1,program,35--42,iTunes is a handy music-management program[comma] and it is essential for anyone with an iPod.
-1,extended warranty,32--49,Because we did not purchase the extended warranty in time[comma] we are on the hook for the repair.
1,price,4--9,The price is great for this model[comma] I only plan on using it for media in the entertainment room.
1,battery life,4--16,The battery life seems to be very good[comma] and have had no issues with it.
-1,cursor,7--13,Or the cursor would show up some place else.
-1,warranty,71--79,It took several weeks just to get them to acknowledge that I owned the warranty.
1,runs,3--7,It runs very quiet too which is a plus.
0,Windows applications,58--78,If you really want a bang-up system and don't need to run Windows applications[comma] go with an Apple;
-1,charge,68--74,_ i must keep it plugged in at all times because it will not keep a charge for longer than four minutes.
-1,power supply,111--123,Anyway[comma] in early July of this year[comma] the DVD burner stopped working[comma] and the computer stared having issues with power supply.
0,firewire connection,31--50,( The iBook backup also uses a firewire connection).
1,sales tax,46--55,I ordered through MacMall[comma] which saved me the sales tax I would have incurred buying locally.
1,recovery discs,29--43,Acer has set me up with FREE recovery discs[comma] when they are available since I asked.
-1,Games,0--5,Games being the main issue.
-1,hard drive,33--43,_ After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.
-1,internals,95--104,Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.
0,Features,16--24,Overall : Poor[comma] Features: Average[comma] Performance: Poor[comma] Battery Life: Excellent[comma] Price-Value: Poor
1,quality,50--57,It is in the best condition and has a really high quality.
1,shipping,57--65,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
-1,Specs,68--73,The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.
-1,system board,51--63,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.
0,operating system,211--227,I think part of the problem with this computer is Vista[comma] yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).
0,motherboard,114--125,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.
-1,windows system,60--74,"I love a ""pc"" but I was ready for a change and tired of the windows system."
1,screen,86--92,Its small enough where I can take it pretty much anywhere[comma] but still has a big enough screen to get everything done.
-1,operating systems,93--110,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.
-1,adding the bluetooth,55--75,But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.
-1,webcam,26--32,oh yeah[comma] and if the fancy webcam breaks guess who you have to send it to to get it fixed?
-1,techie,66--72,I custom ordered the machine from HP and could NOT understand the techie due to his accent.
0,warrenty,12--20,_ After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.
1,recovery DVDs,45--58,I contacted Acer and they are giving me FREE recovery DVDs[comma] so don't go and pay for them[comma] just ask for them and they should give them to you.
0,applications,65--77,The processor is very quick and effective as I load webpages and applications.
-1,word processing program,32--55,First[comma] you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer[comma] if it translates at all.
1,multi-touch mouse,165--182,Screen[comma] keyboard[comma] and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen[comma] responsive island backlit keyboard[comma] and fun multi-touch mouse is worth the extra money to me alone.
1,Customer Service,102--118,All in all[comma] a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.
0,windows media,54--67,It didn't come with any software installed outside of windows media[comma] but for the price[comma] I was very pleased with the condition and the overall product.
-1,programs,18--26,It is loaded with programs that is of no good for the average user[comma] that makes it run way to slow.
1,Keyboard,0--8,Keyboard is reasonable size.
0,charge,21--27,also you may need to charge it once a day[comma] if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.
-1,fan,156--159,The computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan.
-1,Vista,37--42,_ We have had numerous problems with Vista[comma] such as Adobe Flash player just quits and has to be uninstalled and then reinsalled[comma] Internet Explore just quits and you lose whatever you were working on[comma] also[comma] the same Windows update has appeared on this computer since we got it and has been updated probably 400 times[comma] the same update.
-1,music software,31--45,Though the picture[comma] video[comma] and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.
0,Vista,67--72,I noticed windows has a new system called Windows 7[comma] what about us Vista users?_ They should get all the bugs out of Vista before investing in a new system.
1,program,27--34,There is no need to open a program first and the cliick open or import.
1,creating presentations,137--159,Its pretty fast and does not have hiccups while I am using it for web browsing[comma] uploading photos[comma] watching movies (720p) on occasion and creating presentations.
1,XP,33--35,It seems they could have updated XP and done without creating Vista.
-1,Windows,24--31,I will never go back to Windows!
1,warranty,36--44,The quality[comma] engineering design and warranty are superior--covers damage from dropping the laptop.
-1,body,4--8,The body is a bit cheaply made so it will be interesting to see how long it holds up.
1,Snow Leopard X,57--71,But the machine is awesome and iLife is great and I love Snow Leopard X.
1,built,67--72,Compared to similarly spec'd PCs[comma] this machine is good value[comma] well built and works easily right out of the box.
0,VMWare program,95--109,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.
1,default background,76--94,Love the graphics[comma] awesome programs (including Garageband)[comma] and really cool default background.
-1,Appleworks,101--111,The other lock-up problems are from a myriad of causes[comma] the most common being a corrupted version of Appleworks which can render the browser useless.
0,iTunes,80--86,"I made a photo book as a gift[comma] on my computer[comma] pushed ""Buy"" and it drew from my iTunes account and sent the book to my house[comma] the book was of perfect quality-exactly how I had created it and looked better than I had even imagined."
-1,performance,41--52,It did fairly well[comma] other than it's poor performance[comma] overheating and occational blue screen.
1,display,4--11,The display is awesome.
1,space,29--34,Love that it doesn't take up space like a regular computer.
1,speed,26--31,It gives me the power and speed that I need to run all the programs I use to edit.
-1,driver updates,4--18,The driver updates don't fix the issue[comma] very frustrating.
-1,memory,82--88,What I'd like is for the laptop to run well without having to purchase additional memory.
1,set up,12--18,The ease of set up was terrific.
1,software,73--81,You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.
1,500gb hard drive,45--61,It has a .1 ghz faster processor and a stock 500gb hard drive.
0,extended warranties,88--107,They said that my computer was covered on an extended warranty[comma] and that products with_ extended warranties are taken care of through third parties and not Sony itself anymore.
1,MS Office,32--41,I had my IWORKS[comma] Itunes[comma] Email[comma] MS Office[comma] network and printers set up and completely working perfectly within an hour.
1,preloaded software,36--54,I love the operating system and the preloaded software.
0,battery,63--70,They went through asking me open up various components[comma] taking battery out[comma] hard disk apart[comma] and after 2 hours on phone could not fix it.
-1,function,87--95,1.You can not change your desktop background (window's 7 starter does NOT support that function).
-1,battery life,57--69,:-)If you buy this - don't go into it expecting 7 hrs of battery life[comma] and you'll be perfectly satisfied.
1,programs,127--135,Not only are the versions of these programs able to be saved[comma] worked on and opened on both a PC and Mac[comma] the versions of these programs on a Mac are graphically and functionally superior.
0,gaming,46--52,While I mostly use it for email[comma] internet and gaming[comma] I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.
-1,RAM,43--46,the only problem is that i had to add 1 gb RAM[comma] the computer was kinda slow.
-1,charged,15--22,They only stay charged a little over an hour.
-1,key bindings,4--16,the key bindings take a little getting used to[comma] but have loved the Macbook Pro.
1,start up,50--58,u can do what u want in just few seconds[comma] even to start up your computer takes few seconds.
-1,work,92--96,_ It gets stuck all of the time you use it[comma] and you have to keep tapping on it to get it to work.
0,Warrenty,136--144,Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.
1,color reproduction,36--54,It's still beautiful and has better color reproduction than I could ever expect from a notebook.
1,built-in webcam,4--19,The built-in webcam is great for Skype and similar video-chat services.
1,battery life,29--41,I've been impressed with the battery life and the performance for such a small amount of memory.
-1,battery life,18--30,still testing the battery life as i thought it would be better[comma] but am very happy with the upgrade.
1,RMA service,9--20,Newegg's RMA service was great as always[comma] I contacted them late Friday night[comma] and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.
1,specs,38--43,I thought the price was great for the specs.
0,OpenOffice,47--57,I wiped nearly everything off of it[comma] installed OpenOffice and Firefox[comma] and I am operating an incredibly efficient and useful machine for a great price.
-1,pixel sizes,89--100,Setting would change for some reason[comma] the screen size would change on it's own[comma] like the pixel sizes and whatnot.
-1,cooling system,9--23,It had a cooling system malfunction after 10 minutes of general use[comma] and would not move past this error.
-1,price,13--18,Although the price is higher then Dell laptops[comma] the Macbooks are worth the dough.
1,graphics card,18--31,Bigger HD[comma] better graphics card[comma] and a bid HD.
1,sales associate,50--65,After talking it over with the very knowledgeable sales associate[comma] I chose the MacBook Pro over the white MacBook.
1,windows,14--21,I reinstalled windows through the recovery discs and everything seemed good again.
-1,hardrive,46--54,In the first moth of owning this computer its hardrive failed which had to be replaced.
-1,BIOS,44--48,Summary: HP knew they were shipping out bad BIOS and did nothing proactive to resolve it.
1,program,12--19,I love this program[comma] it is superior to windows movie maker.
-1,mouse buttons,4--17,the mouse buttons are hard to push.
1,cords,23--28,I just took the broken cords into the Apple store and they gave me new ones.
1,cooling system,10--24,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...
1,word processer,240--254,Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.
0,programs,36--44,I am constantly trying to uninstall programs[comma] clean cookies[comma] and delete unused files.
-1,size,25--29,The only bad part is the size/weight.
1,size,65--69,However[comma] I love this particular Mac because its very fast[comma] great size[comma] and has fantastic features like the lighted keyboard and easy mouse pad.
-1,mousepad sensitivity,19--39,I had to adjust my mousepad sensitivity[comma] because it is very sensitive.
-1,windows,74--81,Microsoft seems to be unable to keep up with repairs for the multitude of windows problems.
1,OSX,16--19,I can have both OSX and Windows XP running at the same time!
-1,screen,92--98,In fact[comma] somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently[comma] behind the front of the screen[comma] in the way of the display.
-1,battery,6--13,_ the battery is irreplaceable.
1,runs,52--56,Overall[comma] I experienced a huge change in that my mac runs pretty fast compared to my old PC.
-1,numeric pad,15--26,Oh yea[comma] has no numeric pad on the side.
0,Microsoft Office,121--137,I also purchased iWork to go with it which has programs for word processing[comma] spreadsheets[comma] and presentations (similar to Microsoft Office).
1,iLife,170--175,I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting[comma] but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.
0,drivers,72--79,Before[comma] I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.
-1,gaming,20--26,Mac is not made for gaming.
0,memory,17--23,I paid for extra memory and the 17-inch screen[comma] as well as the top of the line DVD and CD burners.
0,hard drive,29--39,So[comma] after Apple replaced the hard drive I enjoyed another 4 months of my new computer[comma] until it froze this morning--completely.
0,desktop keyboard,67--83,The keyboard[comma] which generally felt okay even for someone used to a desktop keyboard[comma] now looks terrible.
1,navigate,14--22,It is easy to navigate and update programs.
-1,techs,53--58,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.
1,battery life,18--30,lightweight[comma] long battery life[comma] excellent transition from PC;
1,internet connection,45--64,It is fast and i have not had a problem with internet connection or any other problems.
-1,design,20--26,but it  has a major design flaw.
1,service life,24--36,They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).
-1,extended warranty,10--27,Also[comma] the extended warranty was a problem.
-1,MS applications,55--70,[comma] Applications respond immediately (not like the tired MS applications).
1,glass screen,17--29,I also liked the glass screen.
1,spotlight search,23--39,A great feature is the spotlight search: one can search for documents by simply typing a keyword[comma] rather than parsing tens of file folders for a document.
1,internet,36--44,I recommend for word processing and internet users.
1,backlit keyboard,11--27,There is a backlit keyboard which is perfect for typing in the dark.
0,Numbers,37--44,All of the programs (Keynote[comma] Pages[comma] Numbers) have an option to save your documents as Microsoft compatible[comma] which really eliminates the need for the actual.
0,repair center,77--90,Called Acer many times[comma] they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!
1,preloaded software,8--26,lots of preloaded software.
-1,port,123--127,I'm having the laptop returned unrepaired since paying $176 every 3  months just isn't worth it (that's about how long the port seems to  last).
-1,rep,4--7,The rep did not even answer my question[comma] I had to ask him[comma] if he understood what I ask or if he spoke english because he didn't even try to acknowledge my question.
0,programs,150--158,Its Office compatible[comma] but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.
-1,service center,27--41,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team[comma] which is the retail shop which I bought my netbook from."
-1,battery life,4--16,The battery life was supposed to be 6 hours[comma] but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.
-1,charge,94--100,The battery never held a charge longer than one hour and within two months[comma] stopped holding a charge for more than ten minutes.
1,applications,34--46,I have not had a problem with the applications quitting or freezing.
-1,left button,26--37,the mouse on the pad[comma] the left button always sticks.
0,touch-pad,43--52,the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic[comma] not to mention the laptop was designed for right handed person.
-1,memory,31--37,They should have included more memory on their computers if they knew Vista would run slowly.
1,techs,139--144,I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful[comma] english speaking (from Vancouver) techs that walked me through the processes to help me.
1,programs,44--52,Best thing is I can use existing 32 bit old programs.
-1,SERVICE FACILITY,21--37,COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.
1,zooming,10--17,Wonderful zooming.
1,shut down,22--31,Very fast boot up and shut down.
-1,replacement charger,48--67,THEN[comma] one month after the warranty expired[comma] the replacement charger went.
-1,Fan,0--3,Fan noise: The fan made a constant hissing noise in the background.
1,speed,9--14,Love the speed[comma] especially!
-1,Windows,71--78,Well[comma] I have to say since I bought my Mac[comma] I won't ever go back to any Windows.
1,use,43--46,The Toshiba laptop I am using is easier to use than most I have tried.
1,carry,53--58,I take it everywhere with me because it's so easy to carry.
0,HDMI,59--63,But with A WAY Bigger Screen[comma] and IS able to connect to an HDMI.
-1,features,34--42,Would like more trendy[comma] high tech features.
1,graphics,25--33,Simple to use[comma] and great graphics.
-1,warranty,30--38,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered."
0,hard drive,75--85,(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.)
0,touch pad,19--28,) I also tried the touch pad and compared it to other netbooks in the store.
-1,bios,37--41,"No[comma] tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!"
-1,plug,75--79,The port is secured to motherboard so when this  happens you can't see the plug at all[comma] it's just gone.
-1,CHARGE TIME,30--41,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS
-1,video card,48--58,this is my second one and the same problem[comma] bad video card  unreliable overall[comma] this will be my second time returning this laptop back to best buy.
-1,battery,4--11,The battery gets so HOT it is scary.
0,features,111--119,I was looking too closely at the other performance specs and while comparing[comma] I took it for granted that these features were standard.
-1,volume,11--17,I wish the volume could be louder and the mouse didnt break after only a month.
-1,costs,52--57,_ I would  rather spend my money on a computer that costs more then a Toshiba that  isn't good at all.
1,portability,58--69,As a computer science student in college[comma] I find that the portability[comma] longevity[comma] and ease of use of this computer make me (shockingly) want to do homework more;
-1,battery,12--19,_ Also[comma] the battery does not last very long at all.
-1,pre installed software update,20--49,It had some kind of pre installed software update that completely shut the computer down when you clicked it.
1,warranty,59--67,I sent it back to Toshiba twice they covered it under the  warranty.
1,performance,104--115,Apparently well-built and gorgeous to look at[comma] the i5 MacBook Pro is a winning combination of price and performance.
1,budget,36--42,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
0,Touchpad,1--9, Touchpad will take a bit of time to get used to.
1,internet use,27--39,It works great for general internet use[comma] Microsoft Office apps[comma] home bookkeeping[comma] etc.
0,Office programs,106--121,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
1,memory,50--56,It has just enough RAM to run smoothly and enough memory to satisfy my needs.
1,repair technician,84--101,I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.
